76,甜蜜蜜,2015-02-13,"主演：黎明,张曼玉,曾志伟",9.2,/films/784
77,素媛,2013-10-02(韩国),"主演：李来,薛耿求,严志媛",9.1,/films/78538
78,小鞋子,1999-01-22(美国),"主演：默罕默德·阿米尔·纳吉,Kamal Mirkarimi,Behzad Rafi",9.1,/films/9426
79,萤火之森,2011-09-17(日本),"主演：内山昂辉,佐仓绫音,后藤弘树",9.0,/films/68213
80,时空恋旅人,2013-09-04(英国),"主演：瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊",8.9,/films/78312
81,穿条纹睡衣的男孩,2008-09-12(英国),"主演：阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯",9.0,/films/38099
82,窃听风暴,2006-03-23(德国),"主演：乌尔里希·穆埃,塞巴斯蒂安·科赫,马蒂娜·格德克",9.0,/films/23127
83,地球上的星星,2007-12-21(印度),"主演：塔奈·切赫达,Aamir Hussain Khan,达席尔·萨法瑞",8.8,/films/35949
84,借东西的小人阿莉埃蒂,2010-07-17(日本),"主演：志田未来,神木隆之介,大竹忍",8.8,/films/57212
85,恐怖直播,2013-07-31(韩国),"主演：河正宇,李璟荣,李大为",8.8,/films/247791
86,7号房的礼物,2013-01-23(韩国),"主演：柳承龙,郑镇荣,朴信惠",8.9,/films/249294
87,海豚湾,2009-07-31(美国),"主演：里克·奥巴瑞,路易·西霍尤斯,哈迪·琼斯",8.9,/films/48465
88,忠犬八公物语,1987-08-01(日本),"主演：仲代达矢,春川真澄,井川比佐志",9.0,/films/25310
89,上帝之城,2002-08-30(巴西),"主演：亚历桑德雷·罗德里格斯,艾莉丝·布拉加,莱安德鲁·菲尔米诺",8.9,/films/1309
90,辩护人,2013-12-18(韩国),"主演：宋康昊,郭度沅,吴达洙",8.8,/films/246433
91,七武士,1954-04-26(日本),"主演：三船敏郎,志村乔,千秋实",9.1,/films/3867
92,英雄本色,2017-11-17,"主演：狄龙,张国荣,周润发",9.2,/films/313
93,一一,2000-09-20(法国),"主演：吴念真,金燕玲,李凯莉",8.9,/films/1383
94,完美的世界,1993-11-24(美国),"主演：凯文·科斯特纳,克林特·伊斯特伍德,T·J·劳瑟",8.9,/films/7971
95,海洋,2011-08-12,"主演：雅克·贝汉,姜文,兰斯洛特·佩林",9.0,/films/168
96,爱·回家,2002-04-05(韩国),"主演：俞承豪,金艺芬,童孝熙",9.0,/films/6796
97,黄金三镖客,1966-12-23(意大利),"主演：克林特·伊斯特伍德,李·范·克里夫,埃里·瓦拉赫",8.9,/films/14124
98,我爱你,2011-02-17(韩国),"主演：宋在浩,李顺才,尹秀晶",9.0,/films/67163
99,迁徙的鸟,2001-12-12(法国),"主演：雅克·贝汉,Philippe Labro",9.1,/films/1346
100,阿飞正传,2018-06-25,"主演：张国荣,张曼玉,刘德华",8.8,/films/11237
